Set	Line	KO	Gene	Sign
168FARN Kmt2c.KO	168FARN	Kmt2c.KO	SOX4	1
168FARN Kmt2c.KO	168FARN	Kmt2c.KO	TSPAN4	1
168FARN Kmt2c.KO	168FARN	Kmt2c.KO	GADD45A	-1
168FARN Kmt2c.KO	168FARN	Kmt2c.KO	ADAMTS7	1
168FARN Kmt2c.KO	168FARN	Kmt2c.KO	TFAP2A	1
168FARN Kmt2c.KO	168FARN	Kmt2c.KO	GNPDA1	-1
168FARN Kmt2c.KO	168FARN	Kmt2c.KO	B3GLCT	1
168FARN Kmt2c.KO	168FARN	Kmt2c.KO	THBD	1
168FARN Kmt2c.KO	168FARN	Kmt2c.KO	A630001G21RIK	1
168FARN Kmt2c.KO	168FARN	Kmt2c.KO	GTSE1	1
168FARN Kmt2c.KO	168FARN	Kmt2c.KO	SCARF2	1
168FARN Kmt2c.KO	168FARN	Kmt2c.KO	MSLN	-1
168FARN Kmt2c.KO	168FARN	Kmt2c.KO	TANC2	1
168FARN Kmt2c.KO	168FARN	Kmt2c.KO	C1S1	-1
168FARN Kmt2c.KO	168FARN	Kmt2c.KO	XLR3A	1
168FARN Kmt2c.KO	168FARN	Kmt2c.KO	GNPDA2	-1
168FARN Kmt2c.KO	168FARN	Kmt2c.KO	PDZD4	1
168FARN Kmt2c.KO	168FARN	Kmt2c.KO	MYZAP	-1
168FARN Kmt2c.KO	168FARN	Kmt2c.KO	TBX4	-1
168FARN Kmt2c.KO	168FARN	Kmt2c.KO	IRX1	1
168FARN Kmt2c.KO	168FARN	Kmt2c.KO	DACH2	-1
168FARN Kmt2c.KO	168FARN	Kmt2c.KO	PROS1	1
168FARN Kmt2c.KO	168FARN	Kmt2c.KO	ATP13A4	1
168FARN Kmt2c.KO	168FARN	Kmt2c.KO	OAF	1
168FARN Kmt2c.KO	168FARN	Kmt2c.KO	AATK	1
168FARN Kmt2c.KO	168FARN	Kmt2c.KO	SERPINB8	1
168FARN Kmt2c.KO	168FARN	Kmt2c.KO	TSLP	1
168FARN Kmt2c.KO	168FARN	Kmt2c.KO	SERPINA1A	1
168FARN Kmt2c.KO	168FARN	Kmt2c.KO	NOTCH1	1
168FARN Kmt2c.KO	168FARN	Kmt2c.KO	MTUS1	-1
168FARN Kmt2c.KO	168FARN	Kmt2c.KO	NT5DC2	1
168FARN Kmt2c.KO	168FARN	Kmt2c.KO	HS3ST5	1
168FARN Kmt2c.KO	168FARN	Kmt2c.KO	CAPS2	1
168FARN Kmt2c.KO	168FARN	Kmt2c.KO	TNS1	1
168FARN Kmt2c.KO	168FARN	Kmt2c.KO	ZFP110	-1
168FARN Kmt2c.KO	168FARN	Kmt2c.KO	A4GALT	1
168FARN Kmt2c.KO	168FARN	Kmt2c.KO	LONP1	-1
168FARN Kmt2c.KO	168FARN	Kmt2c.KO	5033406O09RIK	-1
168FARN Kmt2c.KO	168FARN	Kmt2c.KO	STAC2	1
168FARN Kmt2c.KO	168FARN	Kmt2c.KO	STAU2	1
168FARN Kmt2c.KO	168FARN	Kmt2c.KO	RAB39B	-1
168FARN Kmt2c.KO	168FARN	Kmt2c.KO	AKR1C18	-1
168FARN Kmt2c.KO	168FARN	Kmt2c.KO	RIMS1	-1
168FARN Kmt2c.KO	168FARN	Kmt2c.KO	SPNS2	1
168FARN Kmt2c.KO	168FARN	Kmt2c.KO	DPPA2	-1
168FARN Kmt2c.KO	168FARN	Kmt2c.KO	GRIP1	-1
168FARN Kmt2c.KO	168FARN	Kmt2c.KO	MMP9	-1
168FARN Kmt2c.KO	168FARN	Kmt2c.KO	GIMAP9	-1
168FARN Kmt2c.KO	168FARN	Kmt2c.KO	RNPEPL1	1
168FARN Kmt2c.KO	168FARN	Kmt2c.KO	TRMT2B	1
168FARN Kmt2c.KO	168FARN	Kmt2c.KO	IFITM3	1
168FARN Kmt2c.KO	168FARN	Kmt2c.KO	F2R	-1
168FARN Kmt2c.KO	168FARN	Kmt2c.KO	FIGF	1
168FARN Kmt2c.KO	168FARN	Kmt2c.KO	GNAO1	1
168FARN Kmt2c.KO	168FARN	Kmt2c.KO	NUP43	-1
168FARN Kmt2c.KO	168FARN	Kmt2c.KO	RNH1	1
168FARN Kmt2c.KO	168FARN	Kmt2c.KO	MGLL	1
168FARN Kmt2c.KO	168FARN	Kmt2c.KO	MPP1	1
